ride_id,trip_time,trip_dist,plan_id,hr_start,dow,time_slot,batt_perc,dist_h,price,start_location_id,lat,lng,end_location_id,lat,lng
212083,21.93736303,3.6,Pro,9,1,1,0.798285714,0.153032292,2,43,37.77747,-122.433245,26,37.791638,-122.391761
212085,11.41346688,1.4,Go,10,1,1,0.830285714,0.147298059,2,58,37.75714,-122.41164,5,37.77603,-122.413138
212091,20.31275373,2,Intro_Pro,10,1,1,0.861142857,0.199592401,2,91,37.776215,-122.398149,12,37.777962,-122.423059
212092,13.63702103,1.2,Go,10,1,1,1,0.565612015,2,72,37.784608,-122.39941,13,37.798434,-122.409468
212093,18.33384522,2.8,Go,10,1,1,0.967428571,0.284257538,2,24,37.784869,-122.432832,52,37.762962,-122.401703
212096,16.76395715,3.1,Intro_Pro,10,1,1,0.369946092,0.274553996,2,55,37.77744,-122.46494,14,37.799715,-122.435161
212108,424.7280614,6.8,Pro,10,1,1,1,0.00427959,20,21,37.775606,-122.416976,21,37.775606,-122.416976
212136,12.10199628,1.6,Go,11,1,2,0.378857143,0.127052806,2,76,-37.784009,-122.442189,80,37.770631,-122.450446
212141,39.66937243,5.2,Go,11,1,2,0.925714286,0.114007614,4,40,37.762109,-122.472704,72,37.784608,-122.39941
212144,27.79007307,4.8,Go,11,1,2,0.98,0.417627929,2,55,37.77744,-122.46494,42,37.74981,-122.43179
212156,26.9514145,3,Intro_Pro,11,1,2,0.481142857,0.101214178,2,11,37.772561,-122.450967,58,37.75714,-122.41164
212160,21.2417286,3.9,Pro,11,1,2,1,0.587068066,2,24,37.784869,-122.432832,131,37.762508,-122.398963
212168,124.0831663,10.7,Other,11,1,2,0.718857143,0.174549472,20,21,37.775606,-122.416976,85,37.780241,-122.418011
212171,27.89377978,3.6,Go,11,1,2,0.997142857,0.372099044,2,67,-37.7755654,-122.4595967,98,37.803079,-122.425449
212174,23.07213397,3.6,Pro,11,1,2,0.869946092,0.390379502,2,103,37.760441,-122.442432,14,37.799715,-122.435161
212176,26.14626792,2.5,Intro_Pro,11,1,2,1,0.064436612,2,23,37.773084,-122.390665,23,37.773084,-122.390665
212180,75.17131023,4.9,Go,12,1,2,1,0.091384753,6,87,37.795342,-122.398735,87,37.795342,-122.398735
212181,30.66332138,3.2,Intro_Pro,12,1,2,0.705714286,0.263160954,2,30,37.793415,-122.405108,58,37.75714,-122.41164
212184,54.66601555,1.5,Intro_Pro,12,1,2,0.12,0.034887346,4,80,37.770631,-122.450446,43,37.77747,-122.433245
212186,170.2840767,7.7,Other,12,1,2,1,0.477314976,10,29,37.790226,-122.406267,8,37.788628,-122.420008
212187,30.77892088,4.9,Go,12,1,2,0.909703504,0.026445201,3,47,37.767401,-122.402841,80,37.770631,-122.450446
212221,16.73217622,3.1,Pro,13,1,2,0.941142857,0.002082555,2,47,37.767401,-122.402841,76,-37.784009,-122.442189
212228,38.95552783,2.7,Other,13,1,2,1,0.135627182,0,34,37.76727,-122.446378,5,37.77603,-122.413138
212231,39.09194797,5.4,Go,13,1,2,1,0.062216478,4,72,37.784608,-122.39941,53,37.761873,-122.469146
212234,29.11260767,3.8,Intro_Pro,13,1,2,0.46967655,0.010863072,2,103,37.760441,-122.442432,97,37.804907,-122.441988
212239,18.0449032,1.8,Go,13,1,2,0.71967655,0.057672839,3,62,37.742119,-122.422501,62,37.742119,-122.422501
212240,12.49732982,1.3,Pro,13,1,2,1,0.265811045,2,87,37.795342,-122.398735,104,37.7947,-122.41096
212248,23.6994424,2,Pro,13,1,2,0.958857143,0.171625583,2,70,37.7616618,-122.48114,20,37.783412,-122.465859
212252,33.65041692,4.4,Go,13,1,2,0.995428571,0.135559412,4,13,37.798434,-122.409468,55,37.77744,-122.46494
212257,36.84158248,4.8,Intro_Pro,14,1,2,1,0.227840433,4,53,37.761873,-122.469146,53,37.761873,-122.469146
212261,216.7586972,9.6,Pro,14,1,2,0.817714286,0.119565405,16,24,37.784869,-122.432832,29,37.790226,-122.406267
212269,25.35087788,2.3,Intro_Pro,14,1,2,0.838857143,0.113935704,2,35,37.775745,-122.44145,35,37.775745,-122.44145
212284,20.84475678,3.2,Go,14,1,2,0.293142857,0.004107689,2,80,37.770631,-122.450446,14,37.799715,-122.435161
212285,47.15195292,3.6,Other,14,1,2,1,0.122686643,2,12,37.777962,-122.423059,12,37.777962,-122.423059
212286,20.15267712,3,Go,14,1,2,0.226857143,0.003830574,2,58,37.75714,-122.41164,29,37.790226,-122.406267
212288,16.83844882,2.8,Go,14,1,2,1,0.372188102,2,46,37.75643,-122.392803,95,37.768121,-122.423728
212289,378.1992075,9.4,Other,14,1,2,0.964571429,0.12794668,24,53,37.761873,-122.469146,40,37.762109,-122.472704
212290,16.74105778,2.8,Go,14,1,2,0.866285714,0.022388465,2,114,37.7922,-122.429485,87,37.795342,-122.398735
212306,45.49064353,2.7,Go,15,1,2,1,0.112800948,4,87,37.795342,-122.398735,87,37.795342,-122.398735
212308,15.75882425,2.1,Other,15,1,2,1,0.170177162,0,87,37.795342,-122.398735,21,37.775606,-122.416976
212312,10.28890847,0.9,Other,15,1,2,1,0.238961229,0,19,37.762924,-122.435514,51,37.757731,-122.424756
212318,56.95484278,5.2,Pro,15,1,2,1,0.150911551,4,47,37.767401,-122.402841,56,37.7715782,-122.442181
212320,88.3333892,5.4,Other,15,1,2,0.877714286,0.384946839,4,83,37.773816,-122.438746,43,37.77747,-122.433245
212322,52.6961227,3.1,Intro_Pro,15,1,2,0.796571429,0.477722279,4,55,37.77744,-122.46494,35,37.775745,-122.44145
212331,4.645844867,0.8,Pro,15,1,2,0.262857143,0.087191315,2,35,37.775745,-122.44145,43,37.77747,-122.433245
212335,18.87479658,2.5,Other,16,1,3,0.778857143,0.070576385,0,63,37.7797245,-122.3958602,43,37.77747,-122.433245
212339,23.7126945,2.7,Pro,16,1,3,0.619946092,0.13252383,2,35,37.775745,-122.44145,96,37.793017,-122.416574
212344,24.834072,4.1,Go,16,1,3,0.882285714,0.350842719,4,55,37.77744,-122.46494,87,37.795342,-122.398735
212349,39.85652112,4,Pro,16,1,3,0.519541779,0.087239046,4,43,37.77747,-122.433245,87,37.795342,-122.398735
212350,180.8803969,7,Pro,16,1,3,0.921142857,0.222412042,12,74,37.765971,-122.457268,8,37.788628,-122.420008
212352,30.38455902,3.5,Intro_Pro,16,1,3,0.385142857,0.020340898,2,47,37.767401,-122.402841,13,37.798434,-122.409468
212356,29.68827882,5.9,Pro,16,1,3,1,0.272672472,2,46,37.75643,-122.392803,89,37.77634,-122.47904
212358,16.19402852,2.1,Intro_Pro,16,1,3,0.234857143,0.001239984,2,43,37.77747,-122.433245,103,37.760441,-122.442432
212361,28.21917507,4.1,Intro_Pro,16,1,3,1,0.258319202,2,23,37.773084,-122.390665,76,-37.784009,-122.442189
212366,62.2682382,6.4,Intro_Pro,16,1,3,1,0.367221283,6,87,37.795342,-122.398735,40,37.762109,-122.472704
212370,32.98538173,4.5,Intro_Pro,16,1,3,0.999428571,0.270452543,4,87,37.795342,-122.398735,20,37.783412,-122.465859
212371,43.28829805,3.8,Pro,16,1,3,0.967428571,0.216151933,4,35,37.775745,-122.44145,61,37.777954,-122.439369
212384,20.45529453,3.1,Intro_Pro,16,1,3,0.961142857,0.302667336,2,5,37.77603,-122.413138,80,37.770631,-122.450446
212385,19.04173972,2.8,Pro,16,1,3,0.998857143,0.098651,2,87,37.795342,-122.398735,76,-37.784009,-122.442189
212387,93.6384138,4.2,Pro,16,1,3,0.669811321,0.060740412,8,2,37.756834,-122.420208,2,37.756834,-122.420208
212399,63.53833395,4.4,Go,17,1,3,0.737142857,0.043074355,12,58,37.75714,-122.41164,43,37.77747,-122.433245
212401,111.2021777,2.4,Pro,17,1,3,0.902285714,0.08738943,8,87,37.795342,-122.398735,13,37.798434,-122.409468
212404,18.75616765,3.4,Intro_Pro,17,1,3,0.970285714,0.251621918,2,9,37.791758,-122.404929,20,37.783412,-122.465859
212409,14.3958313,2.3,Other,17,1,3,0.845714286,0.230801971,0,131,37.762508,-122.398963,12,37.777962,-122.423059
212413,21.34258565,3.6,Pro,17,1,3,0.396571429,0.324879505,2,29,37.790226,-122.406267,55,37.77744,-122.46494
212414,18.24013988,1.4,Pro,17,1,3,1,0.122679427,2,29,37.790226,-122.406267,91,37.776215,-122.398149
212415,17.6124348,1.5,Pro,17,1,3,1,0.080253598,2,12,37.777962,-122.423059,96,37.793017,-122.416574
212418,25.06567868,3.8,Intro_Pro,17,1,3,0.791428571,0.411925629,2,46,37.75643,-122.392803,30,37.793415,-122.405108
212421,13.05116312,1.6,Other,17,1,3,0.999428571,0.241073347,4,23,37.773084,-122.390665,58,37.75714,-122.41164
212425,20.32872365,2.9,Pro,17,1,3,0.96,0.610507047,2,91,37.776215,-122.398149,34,37.76727,-122.446378
212426,26.59351467,5.5,Pro,17,1,3,0.998857143,0.45082822,2,53,37.761873,-122.469146,57,37.772201,-122.393168
212428,29.27615615,5.5,Intro_Pro,17,1,3,0.589622642,0.007031017,2,52,37.762962,-122.401703,99,37.784891,-122.466314
212429,27.9366234,3.7,Other,17,1,3,0.691428571,0.329574965,0,87,37.795342,-122.398735,131,37.762508,-122.398963
212430,143.3752493,1.2,Other,17,1,3,0.768,0.389251393,0,5,37.77603,-122.413138,59,37.79098,-122.397693
212434,42.62409772,5.7,Other,17,1,3,1,0.21795871,4,87,37.795342,-122.398735,21,37.775606,-122.416976
212437,77.64561393,6.7,Other,17,1,3,0.336571429,0.037713576,6,5,37.77603,-122.413138,5,37.77603,-122.413138
212439,246.1073352,4.4,Other,17,1,3,0.999428571,0.117181595,16,10,37.764729,-122.42069,10,37.764729,-122.42069
212441,17.43575218,2.8,Other,17,1,3,0.786857143,0.469756511,0,131,37.762508,-122.398963,24,37.784869,-122.432832
212446,79.78456523,7.9,Intro_Pro,17,1,3,0.788571429,0.185027304,6,40,37.762109,-122.472704,63,37.7797245,-122.3958602
212452,31.42190495,4.3,Other,17,1,3,0.865714286,0.435314088,0,20,37.783412,-122.465859,2,37.756834,-122.420208
212458,19.92991343,3.1,Pro,17,1,3,0.850285714,0.221847141,2,91,37.776215,-122.398149,66,37.784773,-122.436346
212460,19.96837253,2.2,Go,17,1,3,0.639487871,0.383006739,5,47,37.767401,-122.402841,29,37.790226,-122.406267
212463,25.82666202,3.1,Pro,17,1,3,0.62,0.379947212,2,47,37.767401,-122.402841,14,37.799715,-122.435161
212465,44.85982,4.5,Pro,17,1,3,0.493142857,0.426987176,4,14,37.799715,-122.435161,23,37.773084,-122.390665
212472,58.29032923,2.6,Other,17,1,3,0.647428571,0.681428205,4,42,37.74981,-122.43179,85,37.780241,-122.418011
212473,15.09684865,3.5,Other,17,1,3,0.512,0.127650549,3,40,37.762109,-122.472704,21,37.775606,-122.416976
212475,15.89940662,2.6,Pro,17,1,3,1,0.182133079,2,1,37.783622,-122.404401,58,37.75714,-122.41164
212479,21.65755857,2.1,Go,17,1,3,0.640571429,0.250484025,4,43,37.77747,-122.433245,118,37.787984,-122.429116
212486,218.1625222,2.4,Other,17,1,3,1,0.15360729,14,18,37.757891,-122.390586,125,37.763538,-122.428532
212488,36.52146943,3.1,Pro,17,1,3,0.345142857,0.068934153,4,13,37.798434,-122.409468,43,37.77747,-122.433245
212496,17.55557822,2.3,Go,17,1,3,1,0.035885314,5,91,37.776215,-122.398149,43,37.77747,-122.433245
212497,22.78805637,2.9,Pro,17,1,3,0.759428571,0.084707387,2,58,37.75714,-122.41164,26,37.791638,-122.391761
212500,18.80068917,3.1,Pro,17,1,3,0.998857143,0.301746693,2,91,37.776215,-122.398149,35,37.775745,-122.44145
212505,48.31585915,6.4,Intro_Pro,17,1,3,1,0.229933268,4,72,37.784608,-122.39941,11,37.772561,-122.450967
212507,18.98937903,2.4,Pro,17,1,3,1,0.100132179,2,1,37.783622,-122.404401,104,37.7947,-122.41096
212513,14.106506,2.6,Other,18,1,3,0.446857143,0.240121471,0,29,37.790226,-122.406267,100,37.805479,-122.431806
212521,7.53498985,0.5,Go,18,1,3,0.098857143,0.032148748,4,63,37.7797245,-122.3958602,91,37.776215,-122.398149
212524,52.06916012,1.5,Intro_Pro,18,1,3,0.789757412,0.003271216,4,43,37.77747,-122.433245,34,37.76727,-122.446378
212534,42.5895667,3.5,Intro_Pro,18,1,3,0.899428571,0.019162569,4,80,37.770631,-122.450446,11,37.772561,-122.450967
212536,23.23152247,1.5,Pro,18,1,3,0.369946092,0.149341312,2,9,37.791758,-122.404929,85,37.780241,-122.418011
212545,26.41846103,5.1,Go,18,1,3,0.440571429,0.102142209,4,13,37.798434,-122.409468,90,37.7841745,-122.48046
212550,49.41081833,5.9,Pro,18,1,3,0.497714286,0.24771092,4,131,37.762508,-122.398963,55,37.77744,-122.46494
212551,18.6456257,4,Other,18,1,3,1,0.72861619,0,8,37.788628,-122.420008,89,37.77634,-122.47904
212553,78.03689288,7.8,Pro,18,1,3,1,0.517472198,6,13,37.798434,-122.409468,58,37.75714,-122.41164
212554,15.20108067,2,Pro,18,1,3,0.399595687,0.099095696,2,35,37.775745,-122.44145,125,37.763538,-122.428532
212573,18.64032648,1.6,Intro_Pro,18,1,3,0.409703504,0.300521367,2,104,37.7947,-122.41096,12,37.777962,-122.423059
212575,72.35331117,10.5,Pro,18,1,3,0.728,0.490438046,6,58,37.75714,-122.41164,58,37.75714,-122.41164
212584,24.57221473,3.2,Intro_Pro,18,1,3,0.390285714,0.190204075,2,58,37.75714,-122.41164,13,37.798434,-122.409468
212586,60.72592307,4.4,Intro_Pro,18,1,3,0.805714286,0.112942518,4,125,37.763538,-122.428532,12,37.777962,-122.423059
212589,18.20113042,3.2,Other,18,1,3,0.872571429,0.116400255,4,18,37.757891,-122.390586,95,37.768121,-122.423728
212594,15.21561785,1.9,Go,18,1,3,0.836,0.059806083,4,10,37.764729,-122.42069,1,37.783622,-122.404401
212598,63.4193984,5.9,Go,19,1,3,0.998857143,0.038249634,6,53,37.761873,-122.469146,53,37.761873,-122.469146
212600,38.43045102,2.7,Intro_Pro,19,1,3,0.419811321,0.406863,4,60,37.7468027,-122.4135453,94,37.765613,-122.428873
212601,20.96318588,2.4,Intro_Pro,19,1,3,0.823428571,0.364382418,2,35,37.775745,-122.44145,96,37.793017,-122.416574
212604,46.13292183,2.8,Pro,19,1,3,0.678285714,0.244330554,4,34,37.76727,-122.446378,53,37.761873,-122.469146
212607,60.16885005,11.3,Pro,19,1,3,0.989892183,0.364236755,4,40,37.762109,-122.472704,40,37.762109,-122.472704
