,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,normalized_price
2973,9840250,"Sunny, space with POOL! Sleeps 14, Close to it all",50060740,Amy,,78737,30.220169597156378,-97.89542160089985,Entire home/apt,450,2,21,2018-07-18,0.69,2,349,0.7277676950998185
2974,9876665,apartment,50820709,Casey,,78727,30.43030980954943,-97.7431083965017,Private room,150,1,0,,,1,0,0.18330308529945555
2975,9879533,Enjoy Austin on a budget in South Austin.,50831859,Ada,,78744,30.16106961271221,-97.7802560938716,Private room,50,1,3,2018-03-18,0.1,1,365,0.0018148820326678765
2976,9883061,East Side Modern Home minutes from downtown,50845603,Samantha,,78702,30.266273900018998,-97.70321125642369,Entire home/apt,350,2,0,,,1,91,0.5462794918330308
2977,9902174,Spacious Back House in Rosedale,50695244,John,,78756,30.310402940186396,-97.7466844222912,Entire home/apt,95,2,75,2018-08-05,2.31,3,242,0.08348457350272233
2978,9903299,Two Levels of Living in Allandale,50927639,Thomas,,78757,30.362930709094428,-97.73609043061221,Entire home/apt,245,2,24,2018-08-08,0.77,1,163,0.35571687840290384
2979,9909751,Walk to SXWS - cozy apt.,25011907,Marcela,,78703,30.27246946027893,-97.75620293978494,Entire home/apt,295,2,2,2017-03-17,0.07,1,0,0.44646098003629764
2980,9917865,Charming cottage,31718693,Caroline,,78703,30.272198000375017,-97.75758298487379,Entire home/apt,185,1,58,2018-08-19,1.73,1,103,0.24682395644283123
2981,9934794,WELL LOCATED 2BR SoCo Apartment,51063927,Bo,,78704,30.25474907425011,-97.74800833304396,Entire home/apt,400,1,1,2016-03-17,0.03,1,0,0.6370235934664247
2982,9935362,Charming Casita in the Hill Country,51015159,Megan,,78733,30.338714137822183,-97.85703845711092,Entire home/apt,125,2,110,2017-11-19,3.35,1,1,0.13793103448275862
2983,9936343,Central bungalow w/ downtown views,7164229,Abbey,,78704,30.248443649183226,-97.7391216306958,Entire home/apt,475,3,65,2018-08-26,2.25,1,14,0.7731397459165155
2984,9941582,Ranch charmer off SoCo for SXSW,43085325,Meg,,78704,30.23332511136477,-97.74991846181513,Entire home/apt,495,3,2,2016-01-03,0.06,1,0,0.809437386569873
2985,9951914,Small Home 78745 / 5m to Downtown,51142362,Brent,,78745,30.224155362945258,-97.777954248925,Entire home/apt,90,1,1,2016-02-01,0.03,1,0,0.07441016333938294
2986,9956995,Master suite with Lakeview,4852962,Earlene,,78732,30.41634691651573,-97.88668820368336,Private room,110,2,12,2018-08-05,0.41,4,348,0.11070780399274047
2987,9968110,Beautiful Central One Bedroom,51223759,Arielle,,78703,30.28060732556116,-97.75260765275654,Entire home/apt,200,2,25,2018-03-14,1.37,1,0,0.27404718693284935
2988,9970080,South Austin Cozy Spacious home,51232590,Trina,,78745,30.200333909129014,-97.81847134023926,Entire home/apt,160,1,90,2018-09-09,3.25,1,298,0.2014519056261343
2989,9976602,Amazing Spot in downtown Austin.,2891586,M.,,78703,30.27648813513716,-97.76141992102205,Entire home/apt,107,3,29,2018-08-27,1.3,1,27,0.10526315789473684
